"year","sex","age","deaths"
2010,"male",0,1069.23861830691
2010,"male",1,210.266750062501
2010,"male",5,111.87149299585
2010,"male",10,150.844494997314
2010,"male",15,428.738275699878
2010,"male",20,586.260374428032
2010,"male",25,650.460852503689
2010,"male",30,748.185414511413
2010,"male",35,888.966514567121
2010,"male",40,999.944626831513
2010,"male",45,1211.87202371941
2010,"male",50,1430.32837082729
2010,"male",55,1639.29258768065
2010,"male",60,1806.24533401538
2010,"male",65,2031.97465732263
2010,"male",70,2397.15737883883
2010,"male",75,2449.01870653037
2010,"male",80,2251.60340497641
2010,"male",85,3334.28334629424
2019,"male",0,722.594214011832
2019,"male",1,152.2808830236
2019,"male",5,83.1465906875115
2019,"male",10,106.189755564724
2019,"male",15,359.66243690097
2019,"male",20,604.099987085248
2019,"male",25,768.385776154046
2019,"male",30,786.41285911792
2019,"male",35,892.471250269397
2019,"male",40,1045.89652272912
2019,"male",45,1336.90665820491
2019,"male",50,1740.15378084291
2019,"male",55,2135.86825135853
2019,"male",60,2546.10046658048
2019,"male",65,2670.34182670961
2019,"male",70,2870.15927684655
2019,"male",75,3140.16029366497
2019,"male",80,3117.12299264875
2019,"male",85,4542.90776742565
2021,"male",0,604.435068542427
2021,"male",1,116.070085622505
2021,"male",5,61.0368553704554
2021,"male",10,113.068273063303
2021,"male",15,327.197568953097
2021,"male",20,557.336531825306
2021,"male",25,818.494224475943
2021,"male",30,950.573977080863
2021,"male",35,1161.70146041145
2021,"male",40,1497.90446704216
2021,"male",45,2102.26939562831
2021,"male",50,2756.6645335345
2021,"male",55,3536.13519474081
2021,"male",60,3960.3913697748
2021,"male",65,4500.71763043129
2021,"male",70,4553.29396123582
2021,"male",75,4624.792549545
2021,"male",80,4424.67171226482
2021,"male",85,6392.32228504007
2010,"female",0,853.181668133358
2010,"female",1,168.441624019305
2010,"female",5,92.2464456444314
2010,"female",10,112.303456820131
2010,"female",15,193.899961392437
2010,"female",20,222.720651758238
2010,"female",25,237.309759504022
2010,"female",30,283.448727998185
2010,"female",35,369.975864922884
2010,"female",40,467.397674058048
2010,"female",45,668.218442666375
2010,"female",50,872.582672721814
2010,"female",55,1145.72496358246
2010,"female",60,1381.54075558333
2010,"female",65,1721.96212540979
2010,"female",70,2055.73503577255
2010,"female",75,2345.38154752536
2010,"female",80,2351.98417325001
2010,"female",85,4080.0578907945
2019,"female",0,608.845166616944
2019,"female",1,121.02190135001
2019,"female",5,78.0140772773642
2019,"female",10,80.0147371616856
2019,"female",15,135.024577505065
2019,"female",20,177.032897425509
2019,"female",25,221.03954558804
2019,"female",30,297.054808864518
2019,"female",35,382.224484335663
2019,"female",40,542.60056786412
2019,"female",45,821.648271948627
2019,"female",50,1083.19843565696
2019,"female",55,1513.27541341054
2019,"female",60,1925.84620428134
2019,"female",65,2242.40484820841
2019,"female",70,2532.46060206176
2019,"female",75,2835.51603045461
2019,"female",80,3139.06411884509
2019,"female",85,5917.85172131697
2021,"female",0,524.929902395741
2021,"female",1,102
2021,"female",5,57
2021,"female",10,86
2021,"female",15,142
2021,"female",20,189
2021,"female",25,311
2021,"female",30,409
2021,"female",35,629
2021,"female",40,845
2021,"female",45,1324
2021,"female",50,1689
2021,"female",55,2595
2021,"female",60,3108
2021,"female",65,3612
2021,"female",70,3805.45541591861
2021,"female",75,3874
2021,"female",80,4224
2021,"female",85,7425.53753710273
